p1	p2	rg	p	p1_id	p2_id	id	method	q
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_bNGF_eur.hdl.rds	0	NA	pmid27455348_ALS_eur	pmid27989323_bNGF_eur	pmid27455348_ALS_eur/pmid27989323_bNGF_eur	hdl	NA
../output_wrangling/output_pmid27989323_bNGF_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	NA	pmid27989323_bNGF_eur	pmid27455348_ALS_eur	pmid27989323_bNGF_eur/pmid27455348_ALS_eur	hdl	NA
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_CTACK_eur.hdl.rds	0	NA	pmid27455348_ALS_eur	pmid27989323_CTACK_eur	pmid27455348_ALS_eur/pmid27989323_CTACK_eur	hdl	NA
../output_wrangling/output_pmid27989323_CTACK_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	NA	pmid27989323_CTACK_eur	pmid27455348_ALS_eur	pmid27989323_CTACK_eur/pmid27455348_ALS_eur	hdl	NA
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_eotaxin_eur.hdl.rds	-0.5897	0.377	pmid27455348_ALS_eur	pmid27989323_eotaxin_eur	pmid27455348_ALS_eur/pmid27989323_eotaxin_eur	hdl	0.713428571428571
../output_wrangling/output_pmid27989323_eotaxin_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	-0.5897	0.377	pmid27989323_eotaxin_eur	pmid27455348_ALS_eur	pmid27989323_eotaxin_eur/pmid27455348_ALS_eur	hdl	0.713428571428571
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_GCSF_eur.hdl.rds	0	NA	pmid27455348_ALS_eur	pmid27989323_GCSF_eur	pmid27455348_ALS_eur/pmid27989323_GCSF_eur	hdl	NA
../output_wrangling/output_pmid27989323_GCSF_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	NA	pmid27989323_GCSF_eur	pmid27455348_ALS_eur	pmid27989323_GCSF_eur/pmid27455348_ALS_eur	hdl	NA
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_GROa_eur.hdl.rds	0	NA	pmid27455348_ALS_eur	pmid27989323_GROa_eur	pmid27455348_ALS_eur/pmid27989323_GROa_eur	hdl	NA
../output_wrangling/output_pmid27989323_GROa_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	NA	pmid27989323_GROa_eur	pmid27455348_ALS_eur	pmid27989323_GROa_eur/pmid27455348_ALS_eur	hdl	NA
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_HGF_eur.hdl.rds	0	NA	pmid27455348_ALS_eur	pmid27989323_HGF_eur	pmid27455348_ALS_eur/pmid27989323_HGF_eur	hdl	NA
../output_wrangling/output_pmid27989323_HGF_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	NA	pmid27989323_HGF_eur	pmid27455348_ALS_eur	pmid27989323_HGF_eur/pmid27455348_ALS_eur	hdl	NA
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IFNg_eur.hdl.rds	0	NA	pmid27455348_ALS_eur	pmid27989323_IFNg_eur	pmid27455348_ALS_eur/pmid27989323_IFNg_eur	hdl	NA
../output_wrangling/output_pmid27989323_IFNg_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	NA	pmid27989323_IFNg_eur	pmid27455348_ALS_eur	pmid27989323_IFNg_eur/pmid27455348_ALS_eur	hdl	NA
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL10_eur.hdl.rds	0	NA	pmid27455348_ALS_eur	pmid27989323_IL10_eur	pmid27455348_ALS_eur/pmid27989323_IL10_eur	hdl	NA
../output_wrangling/output_pmid27989323_IL10_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	NA	pmid27989323_IL10_eur	pmid27455348_ALS_eur	pmid27989323_IL10_eur/pmid27455348_ALS_eur	hdl	NA
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL12p70_eur.hdl.rds	0	0	pmid27455348_ALS_eur	pmid27989323_IL12p70_eur	pmid27455348_ALS_eur/pmid27989323_IL12p70_eur	hdl	0
../output_wrangling/output_pmid27989323_IL12p70_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	0	pmid27989323_IL12p70_eur	pmid27455348_ALS_eur	pmid27989323_IL12p70_eur/pmid27455348_ALS_eur	hdl	0
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL13_eur.hdl.rds	0	NA	pmid27455348_ALS_eur	pmid27989323_IL13_eur	pmid27455348_ALS_eur/pmid27989323_IL13_eur	hdl	NA
../output_wrangling/output_pmid27989323_IL13_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	NA	pmid27989323_IL13_eur	pmid27455348_ALS_eur	pmid27989323_IL13_eur/pmid27455348_ALS_eur	hdl	NA
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL16_eur.hdl.rds	0	NA	pmid27455348_ALS_eur	pmid27989323_IL16_eur	pmid27455348_ALS_eur/pmid27989323_IL16_eur	hdl	NA
../output_wrangling/output_pmid27989323_IL16_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	NA	pmid27989323_IL16_eur	pmid27455348_ALS_eur	pmid27989323_IL16_eur/pmid27455348_ALS_eur	hdl	NA
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL17_eur.hdl.rds	0	NA	pmid27455348_ALS_eur	pmid27989323_IL17_eur	pmid27455348_ALS_eur/pmid27989323_IL17_eur	hdl	NA
../output_wrangling/output_pmid27989323_IL17_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	NA	pmid27989323_IL17_eur	pmid27455348_ALS_eur	pmid27989323_IL17_eur/pmid27455348_ALS_eur	hdl	NA
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL18_eur.hdl.rds	0	NA	pmid27455348_ALS_eur	pmid27989323_IL18_eur	pmid27455348_ALS_eur/pmid27989323_IL18_eur	hdl	NA
../output_wrangling/output_pmid27989323_IL18_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	NA	pmid27989323_IL18_eur	pmid27455348_ALS_eur	pmid27989323_IL18_eur/pmid27455348_ALS_eur	hdl	NA
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL1ra_eur.hdl.rds	0	0.278	pmid27455348_ALS_eur	pmid27989323_IL1ra_eur	pmid27455348_ALS_eur/pmid27989323_IL1ra_eur	hdl	0.6842
../output_wrangling/output_pmid27989323_IL1ra_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	0.278	pmid27989323_IL1ra_eur	pmid27455348_ALS_eur	pmid27989323_IL1ra_eur/pmid27455348_ALS_eur	hdl	0.6842
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL2_eur.hdl.rds	0	NA	pmid27455348_ALS_eur	pmid27989323_IL2_eur	pmid27455348_ALS_eur/pmid27989323_IL2_eur	hdl	NA
../output_wrangling/output_pmid27989323_IL2_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	NA	pmid27989323_IL2_eur	pmid27455348_ALS_eur	pmid27989323_IL2_eur/pmid27455348_ALS_eur	hdl	NA
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL2ra_eur.hdl.rds	0	NA	pmid27455348_ALS_eur	pmid27989323_IL2ra_eur	pmid27455348_ALS_eur/pmid27989323_IL2ra_eur	hdl	NA
../output_wrangling/output_pmid27989323_IL2ra_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	NA	pmid27989323_IL2ra_eur	pmid27455348_ALS_eur	pmid27989323_IL2ra_eur/pmid27455348_ALS_eur	hdl	NA
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL4_eur.hdl.rds	0	NA	pmid27455348_ALS_eur	pmid27989323_IL4_eur	pmid27455348_ALS_eur/pmid27989323_IL4_eur	hdl	NA
../output_wrangling/output_pmid27989323_IL4_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	NA	pmid27989323_IL4_eur	pmid27455348_ALS_eur	pmid27989323_IL4_eur/pmid27455348_ALS_eur	hdl	NA
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL5_eur.hdl.rds	0	NA	pmid27455348_ALS_eur	pmid27989323_IL5_eur	pmid27455348_ALS_eur/pmid27989323_IL5_eur	hdl	NA
../output_wrangling/output_pmid27989323_IL5_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	NA	pmid27989323_IL5_eur	pmid27455348_ALS_eur	pmid27989323_IL5_eur/pmid27455348_ALS_eur	hdl	NA
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL6_eur.hdl.rds	0	NA	pmid27455348_ALS_eur	pmid27989323_IL6_eur	pmid27455348_ALS_eur/pmid27989323_IL6_eur	hdl	NA
../output_wrangling/output_pmid27989323_IL6_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	NA	pmid27989323_IL6_eur	pmid27455348_ALS_eur	pmid27989323_IL6_eur/pmid27455348_ALS_eur	hdl	NA
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL7_eur.hdl.rds	0	NA	pmid27455348_ALS_eur	pmid27989323_IL7_eur	pmid27455348_ALS_eur/pmid27989323_IL7_eur	hdl	NA
